priority,qid,source,number,subject,basis,score,frequent_match_count,core_match_count,noise_flags,question_preview,status,verified_answer,review_note
A,2022-R3-Q84,2022-R3,84,유통정보,final,59,0,0,short_option|duplicated_option,아래 글상자의 내용을 의사결정에 활용되는 시뮬레이션 절차대로 바르게 나열한 것으로 가장 옳은 것은? ㉠ 모델 설정 ㉡ 문제 규정 ㉢ 모형의 타당성 검토 ㉣ 시뮬레이션 시행 ㉤ 결…,pending,,
A,2022-R3-Q85,2022-R3,85,유통정보,final,65,0,0,,아래 글상자에서 설명하는 내용에 부합하는 용어로 가장 옳은 것은? 모든 디바이스가 정보의 뜻을 이해하고 논리적인 추론까지 할 수 있는 지능형 기술로 사람의 머릿속에 있는 언어에 …,pending,,
A,2022-R3-Q89,2022-R3,89,유통정보,final,65,0,0,,드론의 구성요인에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q3,2023-R3,3,유통물류일반,final,65,0,0,,운송과 관련한 설명 중 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q4,2023-R3,4,유통물류일반,final,61,0,0,short_option,자본잉여금의 종류로 옳지 않은 것은?,pending,,
A,2023-R3-Q5,2023-R3,5,유통물류일반,final,57,0,0,page_footer_text,기업이 e-공급망 관리(e-SCM)를 통해 얻을 수 있는 효과로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q6,2023-R3,6,유통물류일반,final,65,0,0,,서비스 유통의 형태인 플랫폼 비즈니스(platform business)에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q10,2023-R3,10,유통물류일반,final,59,0,0,short_option|duplicated_option,"윤리경영에서 이해관계자가 추구하는 가치이념과 취급 해야 할 문제들이 옳게 나열되지 않은 것은? 이해 추구하는 윤리경영에서 구분 관계자 가치이념 취급해야 할 문제들 산업재해, 산업…",pending,,
A,2023-R3-Q11,2023-R3,11,유통물류일반,final,65,0,0,,아래 글상자에서 설명하는 유통의 형태로 가장 옳은 것은? - 각 판매지역별로 하나 또는 극소수의 중간상에게 자사 제품의 유통에 대한 독점권을 부여하는 것이다. - 소비자가 제품 …,pending,,
A,2023-R3-Q13,2023-R3,13,유통물류일반,final,57,0,0,page_footer_text,직무기술서와 직무명세서를 비교할 때 직무기술서에 해당 되는 내용으로 가장 옳은 것은?,pending,,
A,2023-R3-Q14,2023-R3,14,유통물류일반,final,65,0,0,,유통경영전략의 수립단계를 순서대로 나열한 것으로 가장 옳은 것은?,pending,,
A,2023-R3-Q15,2023-R3,15,유통물류일반,final,65,0,0,,보관을 위한 각종 창고의 유형에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q16,2023-R3,16,유통물류일반,final,65,0,0,,아웃소싱을 실시하는 기업이 얻을 수 있는 장점으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q17,2023-R3,17,유통물류일반,final,65,0,0,,"아래 글상자가 설명하는 합작투자 유형으로 옳은 것은? 공여기업이 자사의 제조공정, 등록상표, 특허권 등을 수여 기업에게 제공하고 로열티 혹은 수수료를 받는 형태이다. 이를 통해,…",pending,,
A,2023-R3-Q18,2023-R3,18,유통물류일반,final,65,0,0,,"아래 글상자가 설명하는 리더십의 유형으로 가장 옳은 것은? 대인관계와 활동을 통하여 규범적으로 적합한 리더의 행동이 구성원들에게 모범으로 작용하며, 상호 간 명확한 도덕적 기준과…",pending,,
A,2023-R3-Q21,2023-R3,21,유통물류일반,final,57,0,0,page_footer_text,불공정 거래행위에 해당되지 않는 것은?,pending,,
A,2023-R3-Q22,2023-R3,22,유통물류일반,final,61,0,0,short_option,샤인(Schein)이 제시한 조직 문화의 세 가지 수준에서 인식적 수준에 해당되는 것으로 가장 옳은 것은?,pending,,
A,2023-R3-Q24,2023-R3,24,유통물류일반,final,65,0,0,,"소비자기본법(법률 제17799호, 2020.12.29., 타법개정)에 따라 국가가 광고의 내용이나 방법에 대한 기준을 제한 할 수 있는 항목으로 옳지 않은 것은?",pending,,
A,2023-R3-Q25,2023-R3,25,유통물류일반,final,65,0,0,,상품을 품질수준에 따라 분류하거나 규격화함으로써 거래 및 물류를 원활하게 하는 유통의 기능으로 가장 옳은 것은?,pending,,
A,2023-R3-Q26,2023-R3,26,상권분석,final,65,0,0,,지리정보시스템(GIS)을 이용한 상권분석과 관련한 내용 으로 옳지 않은 것은?,pending,,
A,2023-R3-Q27,2023-R3,27,상권분석,final,65,0,0,,구조적 특성에 의해 상권을 분류할 때 포켓상권에 해당 하는 것으로 옳은 것은?,pending,,
A,2023-R3-Q28,2023-R3,28,상권분석,final,65,0,0,,중심지체계나 주변환경 등에 의해 분류할 수 있는 상권의 유형에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q29,2023-R3,29,상권분석,final,65,0,0,,소매점포의 상권범위나 상권형태는 소매점포를 이용하는 소비자의 공간적 분포를 나타낸다. 이에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q34,2023-R3,34,상권분석,final,65,0,0,,"도심으로부터 새로운 교통로가 발달하면 교통로를 축으로 도매, 경공업 지구가 부채꼴 모양으로 확대된다는 공간 구조이론으로 가장 옳은 것은?",pending,,
A,2023-R3-Q35,2023-R3,35,상권분석,final,61,0,0,short_option,"인구 9만명인 도시 A와 인구 1만명인 도시 B 사이의 거리는 20Km이다. 컨버스의 공식을 적용할 때 도시 B로 부터 두 도시(A, B) 간 상권분기점까지의 거리로 옳은 것은?",pending,,
A,2023-R3-Q37,2023-R3,37,상권분석,final,65,0,0,,상품 키오스크(merchandise kiosks)에 대한 설명으로서 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q38,2023-R3,38,상권분석,final,65,0,0,,"유통산업발전법(법률 제19117호, 2022.12.27., 타법개정) 에서는 필요하다고 인정하는 경우 대형마트에 대한 영업 시간 제한이나 의무휴업일 지정을 규정하고 있다. 그 내…",pending,,
A,2023-R3-Q40,2023-R3,40,상권분석,final,65,0,0,,업태에 따른 소매점포의 적절한 입지유형을 설명한 페터 (R. M. Fetter)의 공간균배원리를 적용한 것으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q41,2023-R3,41,상권분석,final,65,0,0,,소비자가 원하는 시간과 장소에서 상품을 구입할 수 있게 해야 한다는 의미에서의 상품에 대한 소비자들의 물류요구와 취급하는 소매점 숫자의 관계에 대한 기술로 가장 옳은 것은?,pending,,
A,2023-R3-Q42,2023-R3,42,상권분석,final,65,0,0,,점포개점을 위한 투자계획의 내용으로서 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q43,2023-R3,43,상권분석,final,61,0,0,short_option,도시상권의 매력도에 직접적으로 영향을 미치는 특성 으로서 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q45,2023-R3,45,상권분석,final,65,0,0,,"상가건물 임대차보호법(법률 제18675호, 2022.1.4., 일부 개정) 등의 관련 법규에서는 아래 글상자와 같이 상가 임대료의 인상률 상한을 규정하고 있다. 괄호 안에 들어갈…",pending,,
A,2023-R3-Q47,2023-R3,47,유통마케팅,final,65,0,0,,"점포공간을 구성할 경우, 점포에서의 역할을 고려한 각각의 공간에 대한 설명으로 가장 옳지 않은 것은?",pending,,
A,2023-R3-Q49,2023-R3,49,유통마케팅,final,57,0,0,page_footer_text,온라인광고의 유형에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q50,2023-R3,50,유통마케팅,final,65,0,0,,브랜드 관리와 관련된 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q51,2023-R3,51,유통마케팅,final,65,0,0,,상품판매에 대한 설명으로 옳지 않은 것은?,pending,,
A,2023-R3-Q53,2023-R3,53,유통마케팅,final,65,0,0,,판매서비스는 거래계약의 체결 또는 완결을 지원하는 거래 지원서비스 및 구매 과정에서 고객이 지각하는 가치를 향상시키는 가치증진서비스로 구분할 수 있다. 가치증진 서비스에 해당되는…,pending,,
A,2023-R3-Q54,2023-R3,54,유통마케팅,final,65,0,0,,전략과 연계하여 성과를 평가하기 위해 유통기업은 균형 점수표(BSC: balanced score card)를 활용하기도 한다. 균형점수표의 균형(balanced)의 의미에 대한 …,pending,,
A,2023-R3-Q55,2023-R3,55,유통마케팅,final,65,0,0,,사람들은 신제품이나 혁신을 수용하고 구매하는 성향에서 큰 차이를 갖는다. 자신의 커뮤니티에서 여론주도자이며 신제품이나 혁신을 조기에 수용하지만 매우 신중하게 구매 하는 집단으로 …,pending,,
A,2023-R3-Q62,2023-R3,62,유통마케팅,final,65,0,0,,기업과의 관계 진화과정에 따라 분류한 고객의 유형으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q63,2023-R3,63,유통마케팅,final,65,0,0,,‘주스 한 잔에 00원’ 등과 같이 오랫동안 소비자에게 정착 되어 있는 가격을 지칭하는 용어로 가장 옳은 것은?,pending,,
A,2023-R3-Q65,2023-R3,65,유통마케팅,final,65,0,0,,매장의 상품배치에 관한 제안으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q67,2023-R3,67,유통마케팅,final,57,0,0,page_footer_text,CRM(customer relationship management) 실행 순서를 나열한 것으로 가장 옳은 것은?,pending,,
A,2023-R3-Q70,2023-R3,70,유통마케팅,final,65,0,0,,상품진열에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q71,2023-R3,71,유통정보,final,65,0,0,,아래 글상자의 괄호 안에 들어갈 용어를 순서대로 바르게 나열한 것으로 가장 옳은 것은? 알파고 리(기존 버전 알파고)는 프로 바둑기사들의 기보 데이터를 대량으로 입력받아 학습하는…,pending,,
A,2023-R3-Q72,2023-R3,72,유통정보,final,65,0,0,,드론의 구성요인에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q73,2023-R3,73,유통정보,final,65,0,0,,아래 글상자에서 설명하는 용어로 가장 옳은 것은? 모든 디바이스가 정보의 뜻을 이해하고 논리적인 추론까지 할 수 있는 지능형 기술로 사람의 머릿속에 있는 언어에 대한 이해를 컴퓨…,pending,,
A,2023-R3-Q76,2023-R3,76,유통정보,final,65,0,0,,웹 2.0을 가능하게 하고 지원하는 기술에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q78,2023-R3,78,유통정보,final,65,0,0,,POS(point of sale)시스템 도입에 따른 장점으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q79,2023-R3,79,유통정보,final,65,0,0,,"빅데이터 분석 기술들 중 아래 글상자에서 설명하는 용어로 가장 옳은 것은? 관찰된 연속형 변수들에 대해 두 변수 사이의 모형을 구한 뒤 적합도를 측정해내는 방법으로, 시간에 따라…",pending,,
A,2023-R3-Q83,2023-R3,83,유통정보,final,65,0,0,,지식관리시스템에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2023-R3-Q84,2023-R3,84,유통정보,final,65,0,0,,아래 글상자의 괄호 안에 들어갈 용어가 순서대로 바르게 나열된 것은? 오픈AI는 대화형 인공지능 챗봇 서비스인 ChatGPT를 개발하였다. ChatGPT의 등장은 ( ㉠ ) 서비…,pending,,
A,2023-R3-Q88,2023-R3,88,유통정보,final,65,0,0,,"스미스, 밀버그, 버크(Smith, Milberg, Burke)는 ‘개인 정보 활용에 따른 프라이버시 침해 우려에 대한 연구’를 통해 개인의 프라이버시 침해 우려 프레임워크를 제…",pending,,
A,2023-R3-Q89,2023-R3,89,유통정보,final,65,0,0,,"빅데이터는 다양한 유형으로 존재하는 모든 데이터가 대상이 된다. 데이터 유형과 데이터 종류, 그에 따른 수집 기술의 연결이 가장 옳지 않은 것은?",pending,,
A,2023-R3-Q90,2023-R3,90,유통정보,final,65,0,0,,정부는 수산물의 건강한 유통을 위해 수산물 이력제를 시행하고 있다. 이에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q3,2024-R3,3,유통물류일반,final,65,0,0,,"소매업 발전이론 중 아래 글상자의 괄호 안에 들어갈 이론을 순서대로 나열한 것으로 옳은 것은? - ( ㉠ )은 비용적인 요인들을 강조하여 설명하기에 초기에 고이윤, 고가격을 추구…",pending,,
A,2024-R3-Q4,2024-R3,4,유통물류일반,final,57,0,0,page_footer_text,구매의 전략적 중요성과 시장의 복잡성을 기준으로 공급 업체를 세분화하는 기법으로 옳은 것은?,pending,,
A,2024-R3-Q5,2024-R3,5,유통물류일반,final,59,0,0,short_option|duplicated_option,아래 글상자에서 유통구성원의 기능 중 쌍방흐름으로만 바르게 나열한 것은? ㉠ 물리적 보유 ㉡ 촉진 ㉢ 주문 ㉣ 금융 ㉤ 위험부담 ㉥ 협상 ㉦ 대금지급,pending,,
A,2024-R3-Q6,2024-R3,6,유통물류일반,final,65,0,0,,디지털기술의 발전으로 인한 유통산업의 환경변화에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q9,2024-R3,9,유통물류일반,final,65,0,0,,유통업체가 해외로 진출하기 위한 진입방식에 대한 설명 으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q10,2024-R3,10,유통물류일반,final,45,0,0,page_footer_text|broken_prefix|partial_legal_fragment,"19., 일부개정)에서 명시하고 있는 전자거래사업자의 일반적 준수사항으로 옳지 않은 것은?",pending,,
A,2024-R3-Q13,2024-R3,13,유통물류일반,final,59,0,0,short_option|duplicated_option,아래 글상자의 내용 중 국제기업 조직 관련 국제사업 부의 장점 설명으로 옳은 것을 모두 고르면? ㉠ 국제경영활동과 관련된 업무들이 국제사업부에 집중되기 때문에 신속한 의사결정이 …,pending,,
A,2024-R3-Q14,2024-R3,14,유통물류일반,final,65,0,0,,프로젝트 조직에 대한 내용으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q15,2024-R3,15,유통물류일반,final,59,0,0,short_option|duplicated_option,아래 글상자의 주요 재무지표들 중 기업의 수익성을 측정 할 수 있는 비율들만으로 나열된 것은? ㉠ 순이익증가율 ㉡ 주가수익비율 ㉢ 매출액순이익률 ㉣ 총자산순이익률 ㉤ 총자산영업이…,pending,,
A,2024-R3-Q16,2024-R3,16,유통물류일반,final,65,0,0,,아래 글상자의 괄호 안에 들어갈 용어로 옳은 것은? 중간상이 여러 생산자로부터 자유롭게 제품을 구매하여 다양한 상표를 소비자에게 판매하는 방식과 달리 중간 상이 특정 제조업체의 …,pending,,
A,2024-R3-Q17,2024-R3,17,유통물류일반,final,65,0,0,,인사관리 패러다임의 변화로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q18,2024-R3,18,유통물류일반,final,65,0,0,,피터 드러커(Peter Drucker)의 최고경영자 자질론에 대한 내용으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q19,2024-R3,19,유통물류일반,final,65,0,0,,아래 글상자의 괄호 안에 들어갈 보관의 원칙을 순서 대로 바르게 나열한 것은? - ( ㉠ )에 따르면 출입구가 동일한 창고의 경우 입출하 빈도가 높은 경우에는 출입구에 가까운 장…,pending,,
A,2024-R3-Q20,2024-R3,20,유통물류일반,final,65,0,0,,도소매업체의 물류관리를 위해 필요한 의사결정내용으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q21,2024-R3,21,유통물류일반,final,57,0,0,page_footer_text,복합물류단지의 여러 가지 기능 중 물류기능에 해당되지 않는 것은?,pending,,
A,2024-R3-Q22,2024-R3,22,유통물류일반,final,65,0,0,,풀필먼트센터에 대한 설명으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q24,2024-R3,24,유통물류일반,final,65,0,0,,경제적 주문량과 관련한 설명으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q25,2024-R3,25,유통물류일반,final,65,0,0,,다양한 물류 활동을 기능에 의해 분류할 경우 기본 활동에 포함되는 것들만 바르게 나열한 것은?,pending,,
A,2024-R3-Q27,2024-R3,27,상권분석,final,65,0,0,,상권은 유형에 따라 서로 다른 특성을 갖는다. 상권유형별 일반적 특성을 비교하여 설명한 내용 중에서 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q34,2024-R3,34,상권분석,final,65,0,0,,"다음 글상자에서 설명하고 있는 출점전략으로 가장 옳은 것은? 일정지역에 다수의 점포를 동시에 출점시켜 경쟁자의 진입을 억제하는 다점포 전략으로서, 물류비 절감 및 매장 구성 표준…",pending,,
A,2024-R3-Q38,2024-R3,38,상권분석,final,57,0,0,page_footer_text,입지영향인자의 하나인 라이프 스타일을 파악할 수 있는 소비자 특성은 AIO 분석을 통해 파악해 볼 수 있다. 이중 AIO분석과 관련된 항목으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q39,2024-R3,39,상권분석,final,65,0,0,,기존 점포를 임차하여 점포개점을 계획할 때 고려해야 할 사항으로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q42,2024-R3,42,상권분석,final,65,0,0,,동선과 관련한 소비자의 심리를 나타내는 대표적 원리로 가장 옳지 않은 것은?,pending,,
A,2024-R3-Q44,2024-R3,44,상권분석,final,65,0,0,,"아래 글상자의 괄호 안에 들어갈 내용으로 가장 옳은 것은? 소비자의 이용목적에 따라 입지 유형을 구분할 수 있는데, 고정고객보다 유동고객에 의해 영업이 좌우되는 패스트푸드 점의 …",pending,,
A,2024-R3-Q45,2024-R3,45,상권분석,final,65,0,0,,상권분석 및 입지선정과 직접적인 관련이 있는 정보기술 로서 가장 옳지 않은 것은?,pending,,
