qid,source,year,round,number,subject,question,option1,option2,option3,option4,option5,answer_no,answer_option,explanation
2021-R2-Q11,2021-R2,2021,2,11,유통물류일반,아래의 글상자에서 설명하고 있는 동기부여전략으로 옳은 것은? - 자신의 업무와 관련된 목표를 상사와 협의하여 설정하고 그 과정과 결과를 정기적으로 피드백한다. - 구체적인 목표가 동기를 자극하여 성과를 증진시킨다. - 목표가 완성되었을 경우 상사와 함께 평가하여 다음 번 목표 설정에 활용한다.,① 목표관리이론,② 직무충실화이론,③ 직무특성이론,④ 유연근로제,⑤ 기대이론,1,① 목표관리이론,2021-R2 A형 가답안 기준
2021-R2-Q12,2021-R2,2021,2,12,유통물류일반,서로 다른 제품을 각각 다른 생산설비를 사용하는 것보다 공동의 생산 설비를 이용해서 생산한다면 보다 효과적 이라는 이론으로 옳은 것은?,① 규모의 경제,② 분업의 원칙,③ 변동비 우위의 법칙,④ 범위의 경제,⑤ 집중화 전략 2급 A형 - 3,4,④ 범위의 경제,2021-R2 A형 가답안 기준
2021-R2-Q13,2021-R2,2021,2,13,유통물류일반,유통경영 전략계획 수립에 대한 설명으로 가장 옳지 않은 것은?,① 기업수준의 전략계획수립은 조직의 목표 및 역량과 변화하는 마케팅 기회 간의 전략적 적합성을 개발·유지 하는 과정을 말한다.,② 기업수준의 전략계획수립은 기업 내에서 이루어지는 다른 모든 계획수립의 근간이 된다.,③ 기업수준의 전략계획수립과정은 기업전반의 목적과 사명을 정의하는 것으로 시작된다.,④ 기업수준의 전략계획이 실현될 수 있도록 마케팅 및 기타 부서들은 구체적 실행계획을 수립한다.,⑤ 기업수준의 전략계획은 기능별 경영전략과 사업수준별 경영전략을 수립한 후 전략적 일관성에 맞게 수립해야 한다.,5,⑤ 기업수준의 전략계획은 기능별 경영전략과 사업수준별 경영전략을 수립한 후 전략적 일관성에 맞게 수립해야 한다.,2021-R2 A형 가답안 기준
2021-R2-Q14,2021-R2,2021,2,14,유통물류일반,유통경로에서 발생하는 각종 현상에 관한 설명으로 가장 옳지 않은 내용은?,① 유통경로의 같은 단계에 있는 경로구성원 간의 경쟁을 수평적 경쟁이라고 한다.,"② 제조업자는 수직적 마케팅 시스템을 통해 도소매상의 판매자료를 공유함으로써 효율적 재고관리, 경로전반의 조정개선 등의 이점을 얻을 수 있다.",③ 가전제품도매상과 대규모로 소매상에 공급하는 가전 제조업자와의 경쟁은 업태 간 경쟁이다.,"④ 이미지, 목표고객, 서비스 등 기업전략의 유사성 때문에 수평적 경쟁이 생기는 경우도 많다.","⑤ 유통기업은 수직적 경쟁을 회피하기 위해 전방통합, 후방통합을 시도하기도 한다.",3,③ 가전제품도매상과 대규모로 소매상에 공급하는 가전 제조업자와의 경쟁은 업태 간 경쟁이다.,2021-R2 A형 가답안 기준
2021-R2-Q15,2021-R2,2021,2,15,유통물류일반,기업의 과업환경에 속하지 않는 것은?,① 경쟁기업,② 고객,③ 규제기관,④ 협력업자,⑤ 인구통계학적 특성,5,⑤ 인구통계학적 특성,2021-R2 A형 가답안 기준
2021-R2-Q16,2021-R2,2021,2,16,유통물류일반,"기업의 이해관계자별 주요 관심사에 관한 설명으로 옳지 않은 것은? 구분 이해관계자 이해관계자의 관심사 기업주/ ㉠ 기업평판, 경쟁력 경영자 임금과 근무조건, 복리후생제도, 채용 ㉡ 종업원 관행과 승진제도 ㉢ 노동조합 허위정보, 과대광고, 폭리, 유해상품 소비자/ 제품의 안전성, 적정가격, 서비스 ㉣ 고객 수준과 품질보장 유통업체/ 입찰과 납품 시 합법적 행위, 대금 ㉤ 거래처 결제의 합법성",① ㉠,② ㉡,③ ㉢,④ ㉣,⑤ ㉤ 3 -,3,③ ㉢,2021-R2 A형 가답안 기준
2021-R2-Q17,2021-R2,2021,2,17,유통물류일반,"청소년보호법(법률 제17761호, 2020.12.29., 타법개정) 상, 청소년유해약물에 포함되지 않는 것은?",① 주류,② 담배,③ 마약류,④ 고카페인 탄산음료,⑤ 환각물질,4,④ 고카페인 탄산음료,2021-R2 A형 가답안 기준
2021-R2-Q18,2021-R2,2021,2,18,유통물류일반,‘재고를 어느 구성원이 가지는가에 따라 유통경로가 만들어진다’라고 하는 유통경로 결정 이론과 관련한 내용으로 옳지 않은 것은?,① 중간상이 재고의 보유를 연기하여 제조업자가 재고를 가진다.,② 유통경로의 가장 최후시점까지 제품을 완성품으로 만들거나 소유하는 것을 미룬다.,③ 자전거 제조업자가 완성품 조립을 미루다가 주문이 들어오면 조립하여 중간상에게 유통시킨다.,④ 특수산업용 기계 제조업자는 주문을 받지 않는 한 생산을 미룬다.,⑤ 다른 유통경로 구성원이 비용우위를 갖는 기능은 위양 하고 자신이 더 비용우위를 갖는 일은 직접 수행한다.,5,⑤ 다른 유통경로 구성원이 비용우위를 갖는 기능은 위양 하고 자신이 더 비용우위를 갖는 일은 직접 수행한다.,2021-R2 A형 가답안 기준
2021-R2-Q19,2021-R2,2021,2,19,유통물류일반,상인 도매상은 수행기능의 범위에 따라 크게 완전기능 도매상과 한정기능도매상으로 구분한다. 완전기능도매 상에 해당되는 것으로 옳은 것은?,① 현금으로 거래하며 수송서비스를 제공하지 않는 현금 무배달도매상,② 제품에 대한 소유권을 가지고 제조업자로부터 제품을 취득하여 소매상에게 직송하는 직송도매상,③ 우편을 통해 주문을 접수하여 제품을 배달해주는 우편 주문도매상,④ 서로 관련이 있는 몇 가지 제품을 동시에 취급하는 한정상품도매상,⑤ 트럭에 제품을 싣고 이동판매하는 트럭도매상,4,④ 서로 관련이 있는 몇 가지 제품을 동시에 취급하는 한정상품도매상,2021-R2 A형 가답안 기준
2021-R2-Q20,2021-R2,2021,2,20,유통물류일반,"소비자기본법(법률 제17290호, 2020.5.19., 타법개정) 상, 소비자중심경영의 인증 내용으로 옳지 않은 것은?",① 소비자중심경영인증의 유효기간은 그 인증을 받은 날 부터 1년으로 한다.,② 소비자중심경영인증을 받은 사업자는 대통령령으로 정하는 바에 따라 그 인증의 표시를 할 수 있다.,③ 소비자중심경영인증을 받으려는 사업자는 대통령령 으로 정하는 바에 따라 공정거래위원회에 신청하여야 한다.,④ 공정거래위원회는 소비자중심경영인증을 신청하는 사업자에 대하여 대통령령으로 정하는 바에 따라 그 인증의 심사에 소요되는 비용을 부담하게 할 수 있다.,⑤ 공정거래위원회는 소비자중심경영을 활성화하기 위하여 대통령령으로 정하는 바에 따라 소비자중심경영 인증을 받은 기업에 대하여 포상 또는 지원 등을 할 수 있다. 2급 A형 - 4,1,① 소비자중심경영인증의 유효기간은 그 인증을 받은 날 부터 1년으로 한다.,2021-R2 A형 가답안 기준
2021-R2-Q21,2021-R2,2021,2,21,유통물류일반,최근 국내외 유통산업의 발전상황과 트렌드로 옳지 않은 것은?,"① 제품설계, 제조, 판매, 유통 등 일련의 과정을 늘려 거대한 조직을 만들어 복잡한 가치사슬을 유지하고 높은 재고비용을 필요로 하는 가치사슬이 중요해졌다.",② 소비자의 구매 패턴 등을 담은 빅데이터를 기반으로 생산과 유통에 대한 의사결정이 이루어지고 있다.,"③ 글로벌 유통기업들은 무인점포를 만들고, 시범적으로 드론 배송서비스를 시작하였다.",④ 디지털 기술 및 다양한 기술이 융합됨에 따라 온라인 플랫폼을 통하여 개인화된 제품으로 변화된 소비자 선호에 대응할 수 있게 되었다.,⑤ VR/AR 등을 이용한 가상 스토어에서 물건을 살 수 있다.,1,"① 제품설계, 제조, 판매, 유통 등 일련의 과정을 늘려 거대한 조직을 만들어 복잡한 가치사슬을 유지하고 높은 재고비용을 필요로 하는 가치사슬이 중요해졌다.",2021-R2 A형 가답안 기준
2021-R2-Q22,2021-R2,2021,2,22,유통물류일반,"중간상이 행하는 각종 분류기능 중 ㉠과 ㉡에 들어갈 용어로 옳은 것은? - ( ㉠ )은/는 생산자들에 의해 공급된 이질적인 제품들을 크기, 품질, 색깔 등을 기준으로 동질적인 집단으로 나누는 기능을 의미한다. - ( ㉡ )은/는 동질적인 제품을 소규모 단위로 나누는 기능을 의미한다.","① ㉠수합(accumulation), ㉡등급(sort out)","② ㉠등급(sort out), ㉡분배(allocation)","③ ㉠분배(allocation), ㉡구색(assortment)","④ ㉠구색(assortment), ㉡수합(accumulation)","⑤ ㉠수합(accumulation), ㉡분배(allocation)",2,"② ㉠등급(sort out), ㉡분배(allocation)",2021-R2 A형 가답안 기준
2021-R2-Q23,2021-R2,2021,2,23,유통물류일반,유통산업의 개념 및 경제적 역할에 대한 설명으로 가장 옳지 않은 것은?,"① 유통산업이란 도매상, 소매상, 물적 유통기관 등과 같이 유통기능을 수행·지원하는 유통기구들의 집합을 의미 한다.","② 우리나라의 경우 1960년대 이후 주로 유통산업 부문 중심의 성장을 이루었으나, 1980년대 이후에는 제조 업의 육성과 활성화가 중요 과제가 되었다.",③ 유통산업은 국민경제 및 서비스산업 발전에 파급효과가 크고 성장잠재력이 높은 고부가가치 산업으로 평가 되고 있다.,④ 유통산업은 경제적으로 일자리 창출에 크게 기여하고 있는 산업이며 서비스산업 발전에도 중요한 역할을 하고 있다.,"⑤ 유통산업은 모바일 쇼핑과 같은 신업태의 등장, 유통 단계의 축소 등의 유통구조의 개선으로 상품거래비용과 소매가격하락을 통해 물가안정에도 기여하고 있다. 4 -",2,"② 우리나라의 경우 1960년대 이후 주로 유통산업 부문 중심의 성장을 이루었으나, 1980년대 이후에는 제조 업의 육성과 활성화가 중요 과제가 되었다.",2021-R2 A형 가답안 기준
2021-R2-Q24,2021-R2,2021,2,24,유통물류일반,마이클 포터(Michael Porter)의 산업구조분석모형 (5-forces model)에 대한 설명으로 옳지 않은 것은?,① 공급자의 교섭력이 높아질수록 시장 매력도는 높아 진다.,② 대체재의 유용성은 대체재가 기존 제품의 가치를 얼마나 상쇄할 수 있는지에 따라 결정된다.,③ 교섭력이 큰 구매자의 압력으로 인해 자사의 수익성이 낮아질 수 있다.,④ 진입장벽의 강화는 신규 진입자의 진입을 방해하는 요소가 된다.,⑤ 경쟁기업간의 동질성이 높을수록 암묵적인 담합가능 성이 높아진다.,1,① 공급자의 교섭력이 높아질수록 시장 매력도는 높아 진다.,2021-R2 A형 가답안 기준
2021-R2-Q25,2021-R2,2021,2,25,유통물류일반,중간상의 사회적 존재 타당성에 대한 설명 중 그 성격이 다른 하나는?,① 제조업은 고정비가 차지하는 비율이 변동비보다 크다.,② 제조업자가 중간상과 거래하여 사회적 총 거래수가 감소한다.,③ 유통업은 고정비보다 변동비의 비율이 높다.,④ 중간상이 배제되고 제조업이 유통의 역할을 통합하는 것이 비용측면에서 이점이 크지 않다.,⑤ 제조업체가 변동비를 중간상과 분담함으로써 비용면 에서 경쟁 우위를 차지할 수 있다. <제2과목> 상권분석,2,② 제조업자가 중간상과 거래하여 사회적 총 거래수가 감소한다.,2021-R2 A형 가답안 기준
2021-R2-Q26,2021-R2,2021,2,26,상권분석,소매점 개점을 위한 투자계획에 관한 설명으로 가장 옳지 않은 것은?,① 투자계획은 개점계획을 자금계획과 손익계획으로 계수 화한 것이다.,② 자금계획은 자금조달계획과 자금운영계획으로 구성된다.,③ 손익계획은 수익계획과 비용계획으로 구성된다.,"④ 자금계획은 투자활동 현금흐름표, 손익계획은 연도별 손익계산서로 요약할 수 있다.",⑤ 물가변동이 심하면 경상가격 대신 불변가격을 적용 하여 화폐가치 변동을 반영한다.,4,"④ 자금계획은 투자활동 현금흐름표, 손익계획은 연도별 손익계산서로 요약할 수 있다.",2021-R2 A형 가답안 기준
2021-R2-Q27,2021-R2,2021,2,27,상권분석,"아래 글상자 속의 설명에 해당하는 상업입지로서 가장 옳은 것은? 주로 지방 중소도시의 중심부에 형성되는 커뮤니티형 상점가이다. 실용적인 준선매품 소매점 및 가족형 음식점 들이 상점가를 형성하며, 대부분의 생활기능을 충족시킨다.",① 거점형 상업입지,② 광역형 상업입지,③ 지역중심형 상업입지,④ 지구중심형 상업입지,⑤ 근린형 상업입지 2급 A형 - 5,3,③ 지역중심형 상업입지,2021-R2 A형 가답안 기준
2021-R2-Q28,2021-R2,2021,2,28,상권분석,점포를 개점할 때 고려해야할 전략적 사항에 대한 설명 으로 옳지 않은 것은?,"① 점포는 단순히 하나의 물리적 시설이 아니고 소비자 들의 생활과 직결되며, 라이프스타일에도 영향을 미친다.","② 상권의 범위가 넓어져서 규모의 경제를 유발할 수 있기 때문에, 점포의 규모는 클수록 유리하다.",③ 점포개설로 인해 인접 주민 또는 소비자단체의 민원 제기나 저항이 일어나지 않도록 사전에 대비하여야 한다.,④ 취급하는 상품의 종류에 따라 소비자의 이동거리에 대한 저항감이 다르기 때문에 상권의 범위가 달라진다.,⑤ 경쟁관계에 있는 다른 점포의 규모나 위치를 충분히 검토하여야 한다.,2,"② 상권의 범위가 넓어져서 규모의 경제를 유발할 수 있기 때문에, 점포의 규모는 클수록 유리하다.",2021-R2 A형 가답안 기준
2021-R2-Q29,2021-R2,2021,2,29,상권분석,상권설정이 필요한 이유로 가장 옳지 않은 것은?,① 지역내 고객의 특성을 파악하여 상품구색과 촉진의 방향을 설정하기 위해,② 잠재수요를 파악하기 위해,③ 구체적인 입지계획을 수립하기 위해,④ 점포의 접근성과 가시성을 높이기 위해,⑤ 업종선택 및 업태개발의 기본 방향을 확인하기 위해,4,④ 점포의 접근성과 가시성을 높이기 위해,2021-R2 A형 가답안 기준
2021-R2-Q31,2021-R2,2021,2,31,상권분석,입지후보지에 대한 예상 매출금액을 계량적으로 추정하기 위한 상권분석기법이 아닌 것으로만 짝지어진 것은?,"① 유사점포법(analog method), 허프모델(Huff model)","② 허프모델(Huff model), 체크리스트법(Checklist method)","③ 티센다각형(Thiessen polygon)모형, 체크리스트법 (Checklist method)","④ 회귀분석(regression analysis)모형, 허프모델(Huff model)","⑤ 다항로짓모델(multinomial logit model), 유사점포법 (analog method)",3,"③ 티센다각형(Thiessen polygon)모형, 체크리스트법 (Checklist method)",2021-R2 A형 가답안 기준
2021-R2-Q32,2021-R2,2021,2,32,상권분석,소매점의 입지와 상권에 대한 설명으로 가장 옳은 것은?,"① 입지 평가에는 점포의 층수, 주차장, 교통망, 주변 거주 인구 등을 이용하고, 상권 평가에는 점포의 면적, 주변 유동인구, 경쟁점포의 수 등의 항목을 활용한다.",② 입지는 점포를 이용하는 소비자들이 분포하는 공간적 범위 또는 점포의 매출이 발생하는 지역 범위를 의미 한다.,③ 상권은 점포를 경영하기 위해 선택한 장소 또는 그 장소의 부지와 점포 주변의 위치적 조건을 의미한다.,④ 입지를 강화한다는 것은 점포가 더 유리한 조건을 갖출 수 있도록 점포의 속성들을 개선하는 것을 의미한다.,⑤ 입지는 일정한 공간적 범위(boundary)로 표현되고 상권은 일정한 위치를 나타내는 주소나 좌표를 가지는 점(point)으로 표시된다. 5 -,4,④ 입지를 강화한다는 것은 점포가 더 유리한 조건을 갖출 수 있도록 점포의 속성들을 개선하는 것을 의미한다.,2021-R2 A형 가답안 기준
2021-R2-Q33,2021-R2,2021,2,33,상권분석,시계성 관점에서 상대적으로 좋은 입지에 대한 설명으로 가장 옳지 않은 것은?,① 차량 이용보다는 도보의 경우에 더 먼 거리에서부터 인식할 수 있게 해야 한다.,② 간판은 눈에 띄기 쉬운 크기와 색상을 갖춰야 한다.,③ 건물 전체가 눈에 띄는 것이 효과적이다.,"④ 교외형인 경우 인터체인지, 대형 교차로 등을 기점으로 시계성을 판단한다.",⑤ 주차장의 진입로를 눈에 띄게 하는 것도 중요하다.,1,① 차량 이용보다는 도보의 경우에 더 먼 거리에서부터 인식할 수 있게 해야 한다.,2021-R2 A형 가답안 기준
2021-R2-Q34,2021-R2,2021,2,34,상권분석,지도작성체계와 데이터베이스관리체계의 결합으로 상권 분석의 유용한 도구가 되고 있는 지리정보시스템(GIS)의 기능에 대한 설명으로 옳은 것은?,"① 버퍼(buffer) - 지도상에서 데이터를 조회하여 표현 하고, 특정 공간기준을 만족시키는 지도를 얻기 위해 조회도구로써 지도를 사용하는 것이다.","② 주제도(thematic map) 작성 - 속성정보를 요약하여 표현한 지도를 작성하는 것이며, 면, 선, 점의 형상 으로 구성된다.",③ 위상 - 지리적인 형상을 표현한 지도상에 데이터의 값과 범위를 할당하여 지도를 확대·축소하는 등의 기능 이다.,"④ 데이터 및 공간조회 - 어떤 지도형상, 즉 점이나 선 혹은 면으로부터 특정한 거리 이내에 포함되는 영역을 의미하며, 면의 형태로 나타나 상권 혹은 영향권을 표현하는데 사용될 수 있다.",⑤ 프레젠테이션 지도작업 - 공간적으로 동일한 경계 선을 가진 두 지도 레이어들에 대해 하나의 레이어에 다른 레이어를 겹쳐 놓고 지도 형상과 속성들을 비교 하는 기능이다.,2,"② 주제도(thematic map) 작성 - 속성정보를 요약하여 표현한 지도를 작성하는 것이며, 면, 선, 점의 형상 으로 구성된다.",2021-R2 A형 가답안 기준
2021-R2-Q35,2021-R2,2021,2,35,상권분석,동일하거나 유사한 업종은 서로 멀리 떨어져 있는 것보다 가까이 모여 있는 것이 고객을 유인할 수 있다는 입지 평가의 원칙으로 옳은 것은?,① 보충가능성의 원칙,② 점포밀집의 원칙,③ 동반유인의 원칙,④ 고객차단의 원칙,⑤ 접근 가능성의 원칙,3,③ 동반유인의 원칙,2021-R2 A형 가답안 기준
2021-R2-Q36,2021-R2,2021,2,36,상권분석,한 도시 내 상권들의 계층성에 대한 설명으로 가장 옳지 않은 것은?,① 지역상권은 보통 복수의 지구상권을 포함한다.,② 지역상권은 대체로 도시의 행정구역과 일치하기도 한다.,③ 일반적으로 점포상권은 점포가 입지한 지구의 상권보다 크지 않다.,④ 같은 지구 안의 점포들은 특성이 달라도 상권은 거의 일치한다.,⑤ 지방 중소도시의 지역상권은 도시 중심부의 지구상권과 거의 일치한다. 2급 A형 - 6,4,④ 같은 지구 안의 점포들은 특성이 달라도 상권은 거의 일치한다.,2021-R2 A형 가답안 기준
2021-R2-Q37,2021-R2,2021,2,37,상권분석,페터(R. M. Petter)의 공간균배의 원리에 대한 내용으로 가장 옳지 않은 것은?,① 경쟁점포들 사이의 상권분배 결과를 설명한다.,② 상권 내 소비자의 동질성과 균질분포를 가정한다.,③ 상권이 넓을수록 경쟁점포들은 분산 입지한다.,④ 수요의 교통비 탄력성이 클수록 경쟁점포들은 집중 입지한다.,⑤ 수요의 교통비 탄력성이 0(영)이면 호텔링(H. Hotelling) 모형의 예측결과가 나타난다.,4,④ 수요의 교통비 탄력성이 클수록 경쟁점포들은 집중 입지한다.,2021-R2 A형 가답안 기준
2021-R2-Q38,2021-R2,2021,2,38,상권분석,상권분석은 지역분석과 부지분석으로 나누어진다. 다음 중 지역분석의 분석항목 만으로 구성된 것은?,"① 기후·지형·경관, 용도지역·용적률, 기존 건물의 적합성, 금융 및 조세 여건","② 인구변화 추세, 기후·지형·경관, 도로망·철도망, 금융 및 조세 여건","③ 용도지역·용적률, 기존 건물의 적합성, 인구변화 추세, 도로망·철도망","④ 인구변화 추세, 민원발생의 소지, 토지의 지형·지질· 배수, 금융 및 조세 여건","⑤ 민원발생의 소지, 용도지역·용적률, 도로망·철도망, 공익설비 및 상하수도",2,"② 인구변화 추세, 기후·지형·경관, 도로망·철도망, 금융 및 조세 여건",2021-R2 A형 가답안 기준
2021-R2-Q39,2021-R2,2021,2,39,상권분석,"지역시장의 매력도를 분석할 때 소매포화지수(IRS)와 시장성장잠재력지수(MEP)를 활용할 수 있다. 입지후보가 되는 지역시장의 성장가능성은 낮지만, 시장의 포화 정도가 낮아 기존 점포간의 경쟁이 치열하지 않은 경우 로서 가장 옳은 것은?",① 소매포화지수(IRS)와 시장성장잠재력지수(MEP)가 모두 높은 경우,② 소매포화지수(IRS)는 높지만 시장성장잠재력지수(MEP)가 낮은 경우,③ 소매포화지수(IRS)는 낮지만 시장성장잠재력지수(MEP)가 높은 경우,④ 소매포화지수(IRS)와 시장성장잠재력지수(MEP)가 모두 낮은 경우,⑤ 소매포화지수(IRS)와 시장성장잠재력지수(MEP)만으 로는 판단할 수 없다.,2,② 소매포화지수(IRS)는 높지만 시장성장잠재력지수(MEP)가 낮은 경우,2021-R2 A형 가답안 기준
2021-R2-Q40,2021-R2,2021,2,40,상권분석,일반적인 백화점의 입지와 소매전략에 관한 설명으로 가장 옳지 않은 것은?,"① 입지조건에 따라 도심백화점, 터미널백화점, 쇼핑센터 등으로 구분할 수 있다.","② 대상 지역의 주요산업, 인근지역 소비자의 소비행태 등을 분석해야 한다.",③ 선호하는 브랜드를 찾아다니면서 이용하는 소비자가 존재함을 인지해야 한다.,④ 상품 구색의 종합화를 통한 원스톱 쇼핑보다 한 품목에 집중해야 한다.,⑤ 집객력이 높은 층을 고려한 매장 배치나 차별화가 중요하다. 6 -,4,④ 상품 구색의 종합화를 통한 원스톱 쇼핑보다 한 품목에 집중해야 한다.,2021-R2 A형 가답안 기준
